Employment,Country,AISearchDevAdmired
"Employed, full-time",Ecuador,ChatGPT;Codeium
"Employed, full-time",United States of America,ChatGPT;Claude
"Employed, part-time",Myanmar,NA
"Employed, full-time",NA,NA
"Employed, full-time",Luxembourg,GitHub Copilot
"Not employed, but looking for work",United States of America,NA
"Employed, full-time",Malta,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Netherlands,GitHub Copilot;Google Gemini
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Independent contractor, freelancer, or self-employed",Poland,NA
Retired,United States of America,NA
"Independent contractor, freelancer, or self-employed",France,GitHub Copilot
"Not employed, and not looking for work",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Argentina,NA
"Employed, full-time",Morocco,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Netherlands,NA
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed;Employed, part-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT
"Independent contractor, freelancer, or self-employed",Poland,NA
"Independent contractor, freelancer, or self-employed",Brazil,NA
"Employed, full-time",France,ChatGPT;Google Gemini
"Employed, full-time",Netherlands,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",United States of America,NA
"Employed, full-time",Canada,GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Denmark,ChatGPT;Claude
"Employed, full-time",NA,Bing AI;ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",NA,NA
"Employed, full-time",India,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;OpenAI Codex;Perplexity AI
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",United States of America,ChatGPT;Claude;GitHub Copilot;Google Gemini;Perplexity AI;Visual Studio Intellicode
"Employed, full-time",Suriname,NA
Retired,United States of America,NA
"Employed, full-time",France,NA
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",Italy,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Canada,NA
Retired,United States of America,NA
"Independent contractor, freelancer, or self-employed",Israel,ChatGPT;Google Gemini
"Employed, full-time",Greece,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",Germany,ChatGPT;Tabnine
"Employed, full-time",Sweden,NA
I prefer not to say,NA,NA
"Employed, full-time",Denmark,NA
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",Brazil,ChatGPT;Google Gemini
"Employed, full-time",Uruguay,OpenAI Codex
"Employed, full-time",Spain,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Netherlands,ChatGPT;Perplexity AI
"Employed, full-time",United States of America,ChatGPT;Codeium
"Independent contractor, freelancer, or self-employed",France,NA
"Employed, full-time",NA,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,NA
"Independent contractor, freelancer, or self-employed",Sweden,ChatGPT;GitHub Copilot
"Employed, full-time",Germany,NA
"Employed, full-time",NA,NA
"Not employed, but looking for work",Russian Federation,ChatGPT
"Student, full-time;Employed, part-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Claude;GitHub Copilot;Google Gemini
"Employed, full-time",Switzerland,NA
"Independent contractor, freelancer, or self-employed;Employed, part-time",India,NA
"Independent contractor, freelancer, or self-employed;Employed, part-time",Russian Federation,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Claude;GitHub Copilot;Google Gemini
"Employed, full-time",Germany,NA
"Employed, full-time",Pakistan,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Phind
"Employed, full-time",Czech Republic,ChatGPT
"Independent contractor, freelancer, or self-employed",Canada,ChatGPT
"Employed, full-time",NA,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",NA,NA
"Employed, full-time",Denmark,ChatGPT;GitHub Copilot
"Student, part-time;Employed, part-time",Russian Federation,ChatGPT;Claude
"Employed, full-time;Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Canada,NA
"Student, full-time;Employed, part-time",Poland,ChatGPT;WolframAlpha
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Turkey,ChatGPT;GitHub Copilot
"Employed, full-time",Slovenia,NA
"Employed, full-time",Denmark,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",United States of America,GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",United States of America,Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Ireland,ChatGPT
"Student, full-time;Not employed, but looking for work",Germany,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Germany,NA
"Employed, full-time",Argentina,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Canada,NA
"Not employed, but looking for work",Denmark,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Sweden,Amazon Q
"Employed, full-time",Brazil,NA
"Employed, full-time",Mexico,NA
"Independent contractor, freelancer, or self-employed",Poland,GitHub Copilot
"Employed, full-time","Iran, Islamic Republic of...",NA
"Employed, full-time",France,NA
"Employed, full-time",United States of America,Bing AI;ChatGPT;Meta AI
"Employed, full-time",Sweden,GitHub Copilot
"Employed, full-time",Greece,ChatGPT
"Employed, full-time",Finland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",NA,NA
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Spain,ChatGPT;Google Gemini
"Employed, full-time;Student, part-time",United States of America,ChatGPT;Meta AI
"Not employed, and not looking for work",Israel,Amazon Q;ChatGPT;Google Gemini
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Germany,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",Hungary,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Canada,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Uruguay,ChatGPT
"Employed, full-time;Student, part-time",NA,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Canada,NA
"Employed, full-time",NA,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,ChatGPT;Visual Studio Intellicode
"Employed, full-time;Student, full-time",NA,NA
"Employed, full-time",Italy,GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Canada,GitHub Copilot;Visual Studio Intellicode
"Employed, full-time;Independent contractor, freelancer, or self-employed",Belgium,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,NA
"Not employed, but looking for work",NA,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,ChatGPT;Claude;GitHub Copilot;Perplexity AI;Visual Studio Intellicode
"Employed, full-time",Sweden,Visual Studio Intellicode
"Employed, full-time",Sweden,ChatGPT;GitHub Copilot
"Employed, full-time",Canada,ChatGPT;Phind
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Not employed, but looking for work",United Kingdom of Great Britain and Northern Ireland,Claude;Meta AI
Retired,Italy,ChatGPT
"Employed, full-time",Greece,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Kenya,ChatGPT;Google Gemini
Retired,Canada,ChatGPT
"Independent contractor, freelancer, or self-employed",Poland,NA
"Employed, full-time",Germany,NA
"Employed, full-time",NA,NA
"Employed, full-time",Brazil,GitHub Copilot
"Employed, part-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Germany,GitHub Copilot;Google Gemini
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI;ChatGPT;Visual Studio Intellicode
"Employed, full-time",Israel,ChatGPT
"Independent contractor, freelancer, or self-employed",NA,NA
"Employed, full-time",Argentina,NA
"Employed, full-time",Brazil,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Italy,NA
"Employed, full-time",Germany,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Not employed, but looking for work",NA,NA
"Employed, full-time",Canada,NA
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;Claude;Google Gemini;Perplexity AI
"Employed, full-time;Independent contractor, freelancer, or self-employed",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Israel,GitHub Copilot;Google Gemini
"Employed, full-time",Lithuania,NA
"Employed, full-time",United States of America,NA
"Student, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Brazil,ChatGPT;Perplexity AI
"Not employed, but looking for work",Belgium,ChatGPT;Replit Ghostwriter;Visual Studio Intellicode
"Employed, full-time",Canada,ChatGPT
"Employed, full-time",NA,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Ukraine,Google Gemini
"Employed, full-time",Germany,ChatGPT;GitHub Copilot;Perplexity AI
"Employed, full-time",South Africa,GitHub Copilot
"Employed, full-time",United States of America,ChatGPT;Google Gemini
"Employed, full-time",New Zealand,GitHub Copilot
"Employed, full-time",Russian Federation,NA
"Employed, full-time",Italy,NA
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Poland,GitHub Copilot
"Student, full-time",NA,NA
"Employed, full-time",Brazil,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",United States of America,GitHub Copilot
"Independent contractor, freelancer, or self-employed",France,NA
"Not employed, and not looking for work",United States of America,NA
"Independent contractor, freelancer, or self-employed",Nigeria,ChatGPT;Perplexity AI
"Employed, full-time",Bosnia and Herzegovina,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Not employed, but looking for work",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,NA
"Student, full-time;Employed, part-time",Germany,ChatGPT;GitHub Copilot;Google Gemini;Tabnine;Visual Studio Intellicode
"Employed, full-time",Germany,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Netherlands,ChatGPT
"Employed, full-time",Russian Federation,NA
"Employed, full-time",Malaysia,ChatGPT;Google Gemini
"Employed, full-time",Austria,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Google Gemini
"Independent contractor, freelancer, or self-employed;Not employed, and not looking for work",Bulgaria,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time;Student, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Canada,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Denmark,Bing AI;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",NA,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Argentina,Perplexity AI
"Employed, full-time",NA,ChatGPT;GitHub Copilot
"Employed, full-time",Canada,NA
"Employed, full-time",India,NA
"Employed, full-time",United States of America,WolframAlpha
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Maldives,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed;Retired",United States of America,NA
"Employed, full-time",New Zealand,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",NA,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Austria,ChatGPT;Codeium;GitHub Copilot
"Not employed, and not looking for work",Netherlands,ChatGPT
"Student, full-time",Germany,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Google Gemini
"Independent contractor, freelancer, or self-employed",Canada,NA
"Employed, full-time",Brazil,NA
"Employed, full-time",Spain,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, part-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Sweden,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Argentina,ChatGPT
"Employed, full-time",Germany,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",United States of America,Google Gemini
"Employed, full-time",Austria,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,GitHub Copilot
"Employed, full-time",United States of America,NA
I prefer not to say,United States of America,ChatGPT
"Employed, full-time",United States of America,WolframAlpha
"Employed, full-time",United States of America,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Independent contractor, freelancer, or self-employed;Retired",India,NA
"Employed, full-time",Denmark,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Germany,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Argentina,GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Brazil,NA
"Employed, full-time",Sweden,ChatGPT;Claude;GitHub Copilot
"Employed, full-time",NA,Quora Poe
"Employed, full-time",Sweden,ChatGPT
"Employed, full-time",France,ChatGPT
"Not employed, but looking for work",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Canada,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Amazon Q;ChatGPT;Visual Studio Intellicode
"Employed, full-time",New Zealand,NA
"Employed, full-time",Pakistan,NA
"Independent contractor, freelancer, or self-employed;Retired",NA,NA
"Employed, full-time",Canada,NA
"Independent contractor, freelancer, or self-employed",Brazil,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,Claude
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,GitHub Copilot
"Independent contractor, freelancer, or self-employed",NA,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;Claude;Perplexity AI
"Employed, full-time",United States of America,GitHub Copilot
"Student, full-time",United States of America,ChatGPT
"Employed, full-time",Italy,Amazon Q;Visual Studio Intellicode
Retired,Denmark,NA
"Employed, full-time",Germany,NA
"Employed, full-time",Latvia,NA
"Employed, full-time",NA,NA
"Employed, full-time",India,NA
"Independent contractor, freelancer, or self-employed",Czech Republic,NA
"Employed, full-time",Switzerland,ChatGPT;GitHub Copilot
"Not employed, but looking for work",United States of America,ChatGPT
"Employed, full-time",France,NA
"Independent contractor, freelancer, or self-employed",South Africa,ChatGPT;Google Gemini
"Student, full-time;Independent contractor, freelancer, or self-employed",India,NA
"Employed, full-time",United States of America,NA
Retired,United States of America,NA
"Employed, full-time",Germany,GitHub Copilot
"Employed, part-time",United States of America,NA
"Employed, full-time",NA,NA
"Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT;Claude;GitHub Copilot
"Employed, full-time",Germany,NA
"Student, full-time;Independent contractor, freelancer, or self-employed",Germany,GitHub Copilot
"Employed, full-time",NA,NA
"Employed, full-time",Norway,GitHub Copilot
"Student, full-time",Bangladesh,ChatGPT;Claude;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",India,NA
"Employed, full-time",Germany,NA
"Employed, full-time",NA,ChatGPT;Codeium;WolframAlpha
"Employed, full-time",Bulgaria,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time;Student, part-time",United States of America,NA
"Employed, full-time",Brazil,NA
"Independent contractor, freelancer, or self-employed;Employed, part-time",Germany,ChatGPT
"Independent contractor, freelancer, or self-employed",Spain,GitHub Copilot;Tabnine
"Independent contractor, freelancer, or self-employed",Pakistan,ChatGPT
"Employed, full-time",Canada,WolframAlpha
"Employed, full-time",Brazil,ChatGPT
"Employed, full-time",United States of America,Bing AI;ChatGPT;Google Gemini
"Employed, full-time",NA,NA
"Employed, full-time",NA,NA
"Independent contractor, freelancer, or self-employed",Sweden,NA
"Employed, full-time",NA,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Canada,NA
"Not employed, but looking for work",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Sweden,NA
"Independent contractor, freelancer, or self-employed;Employed, part-time",France,NA
"Employed, full-time",United States of America,Bing AI;ChatGPT
"Student, full-time;Employed, part-time",NA,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI;ChatGPT;WolframAlpha
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,ChatGPT
"Not employed, but looking for work;Employed, part-time",Canada,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Russian Federation,Phind
"Employed, full-time",Germany,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",India,ChatGPT;Claude;Phind
"Employed, full-time",United States of America,NA
"Employed, full-time;Student, part-time",United States of America,GitHub Copilot
"Employed, full-time",Netherlands,ChatGPT
"Employed, full-time",Germany,GitHub Copilot
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",France,Visual Studio Intellicode
"Employed, full-time",Netherlands,ChatGPT
"Employed, full-time",Hungary,NA
"Independent contractor, freelancer, or self-employed",Portugal,NA
"Employed, full-time",Poland,NA
"Employed, full-time",Costa Rica,ChatGPT
"Employed, full-time;Student, full-time",NA,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Student, part-time",India,ChatGPT;Claude;Google Gemini;Tabnine;Visual Studio Intellicode
"Employed, full-time",Bangladesh,ChatGPT;Google Gemini
"Employed, full-time",Germany,NA
"Employed, full-time",Germany,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",France,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Finland,GitHub Copilot
"Not employed, and not looking for work",Australia,Visual Studio Intellicode
"Employed, full-time",Serbia,ChatGPT;GitHub Copilot;Google Gemini
"Independent contractor, freelancer, or self-employed",NA,NA
"Employed, full-time",Spain,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Google Gemini
"Employed, full-time",Belgium,NA
"Employed, full-time",Portugal,NA
"Employed, full-time;Student, part-time",NA,NA
"Not employed, but looking for work",United States of America,NA
"Employed, full-time",Canada,Bing AI;ChatGPT
"Employed, full-time",Slovenia,ChatGPT;GitHub Copilot
"Employed, full-time",Poland,ChatGPT;GitHub Copilot
"Employed, full-time",Latvia,NA
"Independent contractor, freelancer, or self-employed",Czech Republic,ChatGPT
"Employed, part-time",Switzerland,NA
"Employed, full-time",South Africa,NA
"Not employed, but looking for work",NA,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;Claude
"Employed, full-time",Netherlands,NA
"Employed, full-time",Netherlands,Quora Poe;WolframAlpha
"Independent contractor, freelancer, or self-employed;Not employed, and not looking for work",Germany,NA
"Employed, full-time",Canada,ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;WolframAlpha
"Student, full-time",United States of America,NA
"Not employed, but looking for work",Poland,ChatGPT;GitHub Copilot;Google Gemini;Meta AI;Perplexity AI
"Employed, full-time;Student, full-time",NA,NA
"Employed, full-time",Mexico,Bing AI;ChatGPT;GitHub Copilot;Perplexity AI
"Employed, full-time",Canada,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Belgium,ChatGPT;Visual Studio Intellicode
"Not employed, but looking for work",India,NA
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot;Whispr AI
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Codeium;GitHub Copilot
"Employed, full-time",Canada,NA
"Employed, full-time",Sweden,GitHub Copilot
"Employed, full-time",Romania,NA
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",United States of America,NA
I prefer not to say,United States of America,NA
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",United States of America,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",Croatia,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Pakistan,ChatGPT
"Employed, full-time",Germany,NA
"Employed, full-time",United States of America,ChatGPT;Google Gemini
"Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",NA,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode
"Employed, full-time",United States of America,GitHub Copilot
"Independent contractor, freelancer, or self-employed",France,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Latvia,ChatGPT;GitHub Copilot
"Employed, full-time",Turkey,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Netherlands,ChatGPT
"Employed, full-time",NA,NA
"Not employed, but looking for work",United States of America,NA
"Employed, full-time",France,ChatGPT
"Employed, full-time",Sweden,ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Not employed, but looking for work",United States of America,NA
"Independent contractor, freelancer, or self-employed",Netherlands,NA
"Employed, full-time",NA,NA
"Employed, full-time",Sweden,NA
"Independent contractor, freelancer, or self-employed",Suriname,ChatGPT
"Employed, full-time",Switzerland,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time;Student, part-time",Mexico,Phind
"Employed, full-time",Slovakia,NA
"Employed, full-time",Brazil,GitHub Copilot;Google Gemini
"Employed, full-time",United States of America,ChatGPT
"Student, full-time;Not employed, but looking for work",India,ChatGPT;Google Gemini;Tabnine;Visual Studio Intellicode
"Student, full-time",United States of America,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;GitHub Copilot;Google Gemini
"Not employed, but looking for work",Turkey,ChatGPT
"Employed, full-time",Sweden,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,ChatGPT
Retired,United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;Visual Studio Intellicode
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",United States of America,ChatGPT;Google Gemini
"Employed, full-time",Czech Republic,Phind
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Serbia,NA
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Latvia,Visual Studio Intellicode
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",New Zealand,GitHub Copilot
"Employed, part-time",Italy,NA
"Employed, full-time",Canada,NA
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot;Snyk Code
"Employed, full-time;Independent contractor, freelancer, or self-employed",Romania,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",Canada,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Claude
"Employed, full-time",Switzerland,NA
"Independent contractor, freelancer, or self-employed;Employed, part-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Netherlands,NA
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",Sweden,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Germany,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,GitHub Copilot
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT
"Student, full-time",India,ChatGPT;GitHub Copilot;Perplexity AI
"Not employed, but looking for work",Hungary,ChatGPT;GitHub Copilot;You.com
"Student, full-time",United States of America,NA
"Not employed, and not looking for work",Israel,ChatGPT;Google Gemini
"Employed, full-time",Netherlands,ChatGPT
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Not employed, but looking for work",United States of America,Bing AI;ChatGPT;Visual Studio Intellicode
"Employed, full-time",Canada,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Nigeria,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Germany,NA
"Employed, full-time",Austria,ChatGPT;GitHub Copilot
"Employed, full-time",Finland,ChatGPT;Phind;Tabnine
"Student, full-time",Germany,NA
"Not employed, but looking for work",United States of America,NA
"Employed, full-time",Brazil,NA
"Employed, full-time",Romania,ChatGPT
"Employed, full-time",Canada,NA
"Employed, full-time",NA,ChatGPT
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Russian Federation,WolframAlpha
"Employed, full-time",United States of America,NA
"Employed, part-time",Austria,ChatGPT;GitHub Copilot
"Employed, full-time",Netherlands,GitHub Copilot
"Employed, full-time",Germany,NA
"Employed, full-time;Student, full-time",Trinidad and Tobago,Bing AI;ChatGPT;Quora Poe;Visual Studio Intellicode
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,Quora Poe
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",NA,NA
"Employed, full-time",Sweden,NA
"Employed, full-time",Finland,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",India,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Sweden,NA
"Employed, full-time",Latvia,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,Bing AI;ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Germany,Bing AI;ChatGPT
"Independent contractor, freelancer, or self-employed",France,ChatGPT
"Student, full-time;Employed, part-time",Poland,GitHub Copilot
"Employed, full-time",United States of America,ChatGPT;Claude;Google Gemini;Meta AI;Perplexity AI
"Not employed, but looking for work",United States of America,ChatGPT
"Not employed, but looking for work",Finland,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time;Student, part-time",Costa Rica,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time;Independent contractor, freelancer, or self-employed",Czech Republic,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Netherlands,ChatGPT;WolframAlpha
"Employed, full-time",NA,NA
"Employed, full-time",Poland,ChatGPT;GitHub Copilot
"Employed, full-time",Spain,ChatGPT;GitHub Copilot
"Student, full-time",Spain,NA
"Student, full-time",France,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Lithuania,NA
"Independent contractor, freelancer, or self-employed;Employed, part-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,GitHub Copilot;Google Gemini
"Independent contractor, freelancer, or self-employed",Russian Federation,NA
"Employed, full-time",United States of America,GitHub Copilot
"Not employed, and not looking for work",United States of America,ChatGPT;Claude;GitHub Copilot;Google Gemini;WolframAlpha
